subject_id,year_in_study,record_date,activity_level,activity,activity_other,frequency,pace,grade,surface_asphalt,surface_concrete,surface_dirt,surface_grass,surface_rocky,surface_sand,surface_varied,surface_other,surface_other_specify,total_time,total_time_units
grls01RDAKNN,4,2018-12,Moderate,Active indoor play,,Daily,Average walk,Moderate,0,0,0,0,0,0,0,1,indoor rugs,4.0,Year
grls01RDAKNN,5,2019-12,Moderate,Active indoor play,,Daily,Average walk,Flat,0,1,0,0,0,0,0,0,,5.0,Year
grls01RDAKNN,6,2020-12,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,1,0,1,0,0,0,0,,6,Year
grls01RDAKNN,6,2020-12,Moderate,Active indoor play,,Daily,Average walk,Flat,0,0,0,0,0,0,0,1,wood floor,6,Year
grls01RDAKNN,7,2021-12,Moderate,Active indoor play,,Daily,Average walk,Flat,0,0,0,0,0,0,0,1,hardwood floors,6,Year
grls01RDAKNN,7,2021-12,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,1,0,0,0,0,0,0,,6,Year
grls01RDAKNN,8,2023-01,Moderate,Active indoor play,,Daily,Slow walk,Flat,0,0,0,0,0,0,0,1,hardwood floors,8,Year
grls020IW1ZZ,3,2018-02,Very active,"Off leash (obedience training, walking or running)",,More than daily,Run,Moderate,0,0,1,1,0,0,0,0,,3.0,Year
grls020IW1ZZ,3,2018-02,Very active,Fetch outside - air retrieval,,More than daily,Run,Moderate,0,0,0,1,0,0,0,0,,3.0,Year
grls020IW1ZZ,4,2019-01,Very active,Fetch outside - air retrieval,,Daily,Run,Moderate,0,0,1,1,1,0,0,0,,4.0,Year
grls020IW1ZZ,5,2020-01,Very active,"Off leash (obedience training, walking or running)",,More than daily,Run,Moderate,0,0,0,1,0,0,0,0,,5.0,Year
grls020IW1ZZ,5,2020-01,Very active,Fetch outside - ground retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls020IW1ZZ,6,2021-02,Very active,Fetch outside - air retrieval,,More than daily,Run,Moderate,0,0,0,1,0,0,0,0,,5,Year
grls020IW1ZZ,6,2021-02,Very active,Fetch outside - ground retrieval,,More than daily,Run,Moderate,0,0,0,1,0,0,0,0,,5,Year
grls020IW1ZZ,6,2021-02,Very active,"Off leash (obedience training, walking or running)",,More than daily,Brisk walk,Moderate,0,0,0,1,0,0,0,0,,5,Year
grls02RRJK88,3,2016-07,Little,"Off leash (obedience training, walking or running)",,Monthly,Average walk,Flat,1,0,0,0,0,0,0,0,,5.0,Month
grls02RRJK88,4,2017-07,Moderate,Fetch outside - ground retrieval,,Weekly,Run,Flat,0,0,0,1,0,0,0,0,,4.0,Year
